path,compressed_size,uncompressed_size,role_note
extra_data/model_checkpoints/celeba_shadow/checkpoint-25000/random_states_0.pkl,10608,14727,shadow checkpoint state
extra_data/model_checkpoints/celeba_shadow/checkpoint-25000/scheduler.bin,307,563,shadow checkpoint scheduler
extra_data/model_checkpoints/celeba_partial_shadow/checkpoint-25000/scheduler.bin,307,563,partial shadow checkpoint scheduler
extra_data/model_checkpoints/celeba_target/checkpoint-25000/random_states_0.pkl,10608,14727,target checkpoint state
extra_data/model_checkpoints/celeba_target/checkpoint-25000/scheduler.bin,307,563,target checkpoint scheduler
extra_data/model_checkpoints/celeba_partial_target/checkpoint-25000/random_states_0.pkl,10608,14727,partial target checkpoint state
extra_data/blip_checkpoint/README.md,124,143,captioning checkpoint placeholder/readme
extra_data/model_checkpoints/celeba_partial_shadow/checkpoint-25000/random_states_0.pkl,10610,14727,partial shadow checkpoint state
extra_data/model_checkpoints/celeba_partial_target/checkpoint-25000/scheduler.bin,307,563,partial target checkpoint scheduler
extra_data/model_checkpoints/celeba_partial_target/checkpoint-25000/optimizer.bin,5970768,6591685,partial target optimizer state
extra_data/model_checkpoints/celeba_target/checkpoint-25000/pytorch_lora_weights.bin,3008522,3285965,target LoRA weights
extra_data/model_checkpoints/celeba_shadow/checkpoint-25000/optimizer.bin,5970569,6591685,shadow optimizer state
extra_data/model_checkpoints/celeba_shadow/checkpoint-25000/pytorch_lora_weights.bin,3008715,3285965,shadow LoRA weights
extra_data/model_checkpoints/celeba_partial_shadow/checkpoint-25000/pytorch_lora_weights.bin,3008625,3285965,partial shadow LoRA weights
extra_data/model_checkpoints/celeba_partial_target/checkpoint-25000/pytorch_lora_weights.bin,3008699,3285965,partial target LoRA weights
extra_data/model_checkpoints/celeba_partial_shadow/checkpoint-25000/optimizer.bin,5969930,6591685,partial shadow optimizer state
extra_data/model_checkpoints/celeba_target/checkpoint-25000/optimizer.bin,5970997,6591685,target optimizer state
extra_data/dataset/partial-100-target/non_member/dataset.pkl,174736824,449003695,partial target nonmember dataset
extra_data/dataset/100-target/non_member/dataset.pkl,174736824,449003695,target nonmember dataset
extra_data/dataset/100-shadow/non_member/dataset.pkl,175306605,444081007,shadow nonmember dataset
extra_data/dataset/partial-100-target/member/dataset.pkl,175614885,441846383,partial target member dataset
