"track","material_path","report_path","asset_dir","feishu_doc_url","feishu_public_status","agent_status","key_figure_page"
"black-box","references/materials/black-box/2024-arxiv-towards-black-box-membership-inference-diffusion-models.pdf","docs/paper-reports/black-box/2024-arxiv-towards-black-box-membership-inference-diffusion-models-report.md","docs/paper-reports/assets/black-box","https://www.feishu.cn/docx/C8qcdxXjpoK3VyxMCzGcxUaOnXg","anyone_readable","done","4"
"black-box","references/materials/black-box/2024-neurips-clid-membership-inference-text-to-image-diffusion.pdf","docs/paper-reports/black-box/2024-neurips-clid-membership-inference-text-to-image-diffusion-report.md","docs/paper-reports/assets/black-box","https://www.feishu.cn/docx/KkHfdqntFoDyrnxIjhNc2d1InZb","anyone_readable","done","4"
"black-box","references/materials/black-box/2025-ndss-black-box-membership-inference-fine-tuned-diffusion-models.pdf","docs/paper-reports/black-box/2025-ndss-black-box-membership-inference-fine-tuned-diffusion-models-report.md","docs/paper-reports/assets/black-box","https://www.feishu.cn/docx/UJeGd68rJolI66xW7P1czimDnHb","anyone_readable","done","9"
"black-box","references/materials/black-box/2025-visapp-membership-inference-face-fine-tuned-latent-diffusion-models.pdf","docs/paper-reports/black-box/2025-visapp-membership-inference-face-fine-tuned-latent-diffusion-models-report.md","docs/paper-reports/assets/black-box","https://www.feishu.cn/docx/A9VLdD2eioc5IcxKq9zcb0HOnxg","anyone_readable","done","6"
"gray-box","references/materials/gray-box/2023-icml-secmi-membership-inference-diffusion-models.pdf","docs/paper-reports/gray-box/2023-icml-secmi-membership-inference-diffusion-models-report.md","docs/paper-reports/assets/gray-box","https://www.feishu.cn/docx/N5nAd21UioXyXcxtSH9cUTwdnFd","anyone_readable","done","7"
"gray-box","references/materials/gray-box/2024-arxiv-side-extracting-training-data-unconditional-diffusion-models.pdf","docs/paper-reports/gray-box/2024-arxiv-side-extracting-training-data-unconditional-diffusion-models-report.md","docs/paper-reports/assets/gray-box","https://www.feishu.cn/docx/TPA1dUmgzoVauDxbPjpcLSz7nOe","anyone_readable","done","6"
"gray-box","references/materials/gray-box/2024-arxiv-structural-memorization-membership-inference-text-to-image-diffusion.pdf","docs/paper-reports/gray-box/2024-arxiv-structural-memorization-membership-inference-text-to-image-diffusion-report.md","docs/paper-reports/assets/gray-box","https://www.feishu.cn/docx/YMEKdKiAfoSVUsxkFn6cadz5nrd","anyone_readable","done","4"
"gray-box","references/materials/gray-box/2024-iclr-pia-proximal-initialization.pdf","docs/paper-reports/gray-box/2024-iclr-pia-proximal-initialization-report.md","docs/paper-reports/assets/gray-box","https://www.feishu.cn/docx/Vc9edKDxuo4jghxhweDcXSL6njT","anyone_readable","done","2"
"gray-box","references/materials/gray-box/2025-arxiv-sima-score-based-membership-inference-diffusion-models.pdf","docs/paper-reports/gray-box/2025-arxiv-sima-score-based-membership-inference-diffusion-models-report.md","docs/paper-reports/assets/gray-box","https://www.feishu.cn/docx/AoQCdwScKof18ExgDxMcDU3znAd","anyone_readable","done","9"
"gray-box","references/materials/gray-box/2025-arxiv-small-noise-injection-membership-inference-diffusion-models.pdf","docs/paper-reports/gray-box/2025-arxiv-small-noise-injection-membership-inference-diffusion-models-report.md","docs/paper-reports/assets/gray-box","https://www.feishu.cn/docx/QswEdNkWKoHj5YxeAXKcusROnHh","anyone_readable","done","7"
