gate,outcome,count,selected_row_count,boundary_note
target_gate,Pass,0,13,author-keyed C14 gate count over selected stress rows; not external reliability or prevalence evidence
target_gate,Partial,6,13,author-keyed C14 gate count over selected stress rows; not external reliability or prevalence evidence
target_gate,Fail,7,13,author-keyed C14 gate count over selected stress rows; not external reliability or prevalence evidence
target_gate,N/A,0,13,author-keyed C14 gate count over selected stress rows; not external reliability or prevalence evidence
split_gate,Pass,1,13,author-keyed C14 gate count over selected stress rows; not external reliability or prevalence evidence
split_gate,Partial,6,13,author-keyed C14 gate count over selected stress rows; not external reliability or prevalence evidence
split_gate,Fail,6,13,author-keyed C14 gate count over selected stress rows; not external reliability or prevalence evidence
split_gate,N/A,0,13,author-keyed C14 gate count over selected stress rows; not external reliability or prevalence evidence
score_or_response_gate,Pass,0,13,author-keyed C14 gate count over selected stress rows; not external reliability or prevalence evidence
score_or_response_gate,Partial,0,13,author-keyed C14 gate count over selected stress rows; not external reliability or prevalence evidence
score_or_response_gate,Fail,13,13,author-keyed C14 gate count over selected stress rows; not external reliability or prevalence evidence
score_or_response_gate,N/A,0,13,author-keyed C14 gate count over selected stress rows; not external reliability or prevalence evidence
metric_gate,Pass,0,13,author-keyed C14 gate count over selected stress rows; not external reliability or prevalence evidence
metric_gate,Partial,6,13,author-keyed C14 gate count over selected stress rows; not external reliability or prevalence evidence
metric_gate,Fail,7,13,author-keyed C14 gate count over selected stress rows; not external reliability or prevalence evidence
metric_gate,N/A,0,13,author-keyed C14 gate count over selected stress rows; not external reliability or prevalence evidence
semantic_boundary_gate,Pass,4,13,author-keyed C14 gate count over selected stress rows; not external reliability or prevalence evidence
semantic_boundary_gate,Partial,3,13,author-keyed C14 gate count over selected stress rows; not external reliability or prevalence evidence
semantic_boundary_gate,Fail,6,13,author-keyed C14 gate count over selected stress rows; not external reliability or prevalence evidence
semantic_boundary_gate,N/A,0,13,author-keyed C14 gate count over selected stress rows; not external reliability or prevalence evidence
provenance_gate,Pass,0,13,author-keyed C14 gate count over selected stress rows; not external reliability or prevalence evidence
provenance_gate,Partial,13,13,author-keyed C14 gate count over selected stress rows; not external reliability or prevalence evidence
provenance_gate,Fail,0,13,author-keyed C14 gate count over selected stress rows; not external reliability or prevalence evidence
provenance_gate,N/A,0,13,author-keyed C14 gate count over selected stress rows; not external reliability or prevalence evidence
consumer_boundary_gate,Pass,0,13,author-keyed C14 gate count over selected stress rows; not external reliability or prevalence evidence
consumer_boundary_gate,Partial,0,13,author-keyed C14 gate count over selected stress rows; not external reliability or prevalence evidence
consumer_boundary_gate,Fail,13,13,author-keyed C14 gate count over selected stress rows; not external reliability or prevalence evidence
consumer_boundary_gate,N/A,0,13,author-keyed C14 gate count over selected stress rows; not external reliability or prevalence evidence
