alpha,best_asr,best_threshold,auc,tpr_at_1fpr,tpr_at_01fpr,fpr_at_1fpr,fpr_at_01fpr,fp_at_1fpr,fp_at_01fpr,n_train,n_test,fpr_1pct_false_positive_budget,fpr_01pct_false_positive_budget,fpr_denominator_note,max_value,min_value
0.0,0.78,-0.17164134852932644,0.85427,0.34,0.2,0.008,0.0,4,0,500,500,5.0,0.5,Low-FPR values use max TPR under the FPR budget and are quantized by 500 public test rows; 0.1% FPR is a zero-FP strict tail.,2.6347425593861002,-6.927042476099631
0.05,0.784,-0.018287078628575593,0.866592,0.38,0.232,0.01,0.0,5,0,500,500,5.0,0.5,Low-FPR values use max TPR under the FPR budget and are quantized by 500 public test rows; 0.1% FPR is a zero-FP strict tail.,2.5026414303349345,-6.697827580479584
0.1,0.795,-0.0074407859933067755,0.8790720000000001,0.42,0.256,0.01,0.0,5,0,500,500,5.0,0.5,Low-FPR values use max TPR under the FPR budget and are quantized by 500 public test rows; 0.1% FPR is a zero-FP strict tail.,2.3705403012837687,-6.469538090080247
0.15000000000000002,0.804,0.004041444333417132,0.891036,0.434,0.268,0.008,0.0,4,0,500,500,5.0,0.5,Low-FPR values use max TPR under the FPR budget and are quantized by 500 public test rows; 0.1% FPR is a zero-FP strict tail.,2.238439172232603,-6.24124859968091
0.2,0.816,-0.037156405068591525,0.9027639999999999,0.48,0.31,0.01,0.0,5,0,500,500,5.0,0.5,Low-FPR values use max TPR under the FPR budget and are quantized by 500 public test rows; 0.1% FPR is a zero-FP strict tail.,2.106338043181437,-6.012959109281573
0.25,0.828,-0.07509227825156284,0.9110779999999999,0.482,0.364,0.01,0.0,5,0,500,500,5.0,0.5,Low-FPR values use max TPR under the FPR budget and are quantized by 500 public test rows; 0.1% FPR is a zero-FP strict tail.,2.0046582673805413,-5.784669618882234
0.30000000000000004,0.842,0.046089063024929544,0.920626,0.476,0.382,0.008,0.0,4,0,500,500,5.0,0.5,Low-FPR values use max TPR under the FPR budget and are quantized by 500 public test rows; 0.1% FPR is a zero-FP strict tail.,1.948602043665041,-5.556380128482898
0.35000000000000003,0.854,-0.06063634194836265,0.928212,0.512,0.372,0.01,0.0,5,0,500,500,5.0,0.5,Low-FPR values use max TPR under the FPR budget and are quantized by 500 public test rows; 0.1% FPR is a zero-FP strict tail.,1.8925458199495404,-5.32809063808356
0.4,0.867,-0.07445850371603768,0.93476,0.514,0.35,0.01,0.0,5,0,500,500,5.0,0.5,Low-FPR values use max TPR under the FPR budget and are quantized by 500 public test rows; 0.1% FPR is a zero-FP strict tail.,1.83648959623404,-5.099801147684222
0.45,0.873,-0.06548137325186776,0.9391059999999999,0.502,0.328,0.01,0.0,5,0,500,500,5.0,0.5,Low-FPR values use max TPR under the FPR budget and are quantized by 500 public test rows; 0.1% FPR is a zero-FP strict tail.,1.7804333725185397,-4.871511657284886
0.5,0.874,0.036963330144952344,0.94143,0.502,0.328,0.01,0.0,5,0,500,500,5.0,0.5,Low-FPR values use max TPR under the FPR budget and are quantized by 500 public test rows; 0.1% FPR is a zero-FP strict tail.,1.7243771488030393,-4.643222166885548
0.55,0.883,0.0201292120596408,0.941948,0.488,0.324,0.01,0.0,5,0,500,500,5.0,0.5,Low-FPR values use max TPR under the FPR budget and are quantized by 500 public test rows; 0.1% FPR is a zero-FP strict tail.,1.6683209250875386,-4.516263363945667
0.6000000000000001,0.878,0.0383578436215295,0.940078,0.46,0.318,0.01,0.0,5,0,500,500,5.0,0.5,Low-FPR values use max TPR under the FPR budget and are quantized by 500 public test rows; 0.1% FPR is a zero-FP strict tail.,1.6122647013720381,-4.39501338164726
0.65,0.875,0.040415789635472876,0.936726,0.436,0.312,0.01,0.0,5,0,500,500,5.0,0.5,Low-FPR values use max TPR under the FPR budget and are quantized by 500 public test rows; 0.1% FPR is a zero-FP strict tail.,1.5562084776565377,-4.273763399348853
0.7000000000000001,0.869,-0.001674343367490394,0.9291100000000001,0.424,0.304,0.01,0.0,5,0,500,500,5.0,0.5,Low-FPR values use max TPR under the FPR budget and are quantized by 500 public test rows; 0.1% FPR is a zero-FP strict tail.,1.5025806887847097,-4.1525134170504465
0.75,0.859,0.031242961894069943,0.924488,0.408,0.3,0.01,0.0,5,0,500,500,5.0,0.5,Low-FPR values use max TPR under the FPR budget and are quantized by 500 public test rows; 0.1% FPR is a zero-FP strict tail.,1.5300047331410025,-4.03126343475204
0.8,0.849,0.04294727980077351,0.9162140000000001,0.39,0.298,0.008,0.0,4,0,500,500,5.0,0.5,Low-FPR values use max TPR under the FPR budget and are quantized by 500 public test rows; 0.1% FPR is a zero-FP strict tail.,1.5574287774972952,-3.910013452453633
0.8500000000000001,0.831,-0.018103747362756106,0.906328,0.388,0.29,0.01,0.0,5,0,500,500,5.0,0.5,Low-FPR values use max TPR under the FPR budget and are quantized by 500 public test rows; 0.1% FPR is a zero-FP strict tail.,1.584852821853588,-3.858123644076884
0.9,0.818,-0.005239229839460791,0.8950520000000001,0.376,0.27,0.01,0.0,5,0,500,500,5.0,0.5,Low-FPR values use max TPR under the FPR budget and are quantized by 500 public test rows; 0.1% FPR is a zero-FP strict tail.,1.612276866209881,-4.033503573752903
0.9500000000000001,0.801,0.025491612303333966,0.882708,0.368,0.256,0.01,0.0,5,0,500,500,5.0,0.5,Low-FPR values use max TPR under the FPR budget and are quantized by 500 public test rows; 0.1% FPR is a zero-FP strict tail.,1.6397009105661737,-4.208883503428922
1.0,0.787,-0.004905382258121982,0.8695240000000001,0.366,0.24,0.01,0.0,5,0,500,500,5.0,0.5,Low-FPR values use max TPR under the FPR budget and are quantized by 500 public test rows; 0.1% FPR is a zero-FP strict tail.,1.6729399567255678,-4.38426343310494
