threshold,tp,fp,tn,fn,tpr,fpr,asr
-4.516263363945667,1,0,500,499,0.002,0.0,0.501
-4.513171071801151,1,0,500,499,0.002,0.0,0.501
-4.510078779656634,1,0,500,499,0.002,0.0,0.501
-4.506986487512118,1,0,500,499,0.002,0.0,0.501
-4.503894195367602,1,0,500,499,0.002,0.0,0.501
-4.500801903223086,1,0,500,499,0.002,0.0,0.501
-4.4977096110785695,1,0,500,499,0.002,0.0,0.501
-4.494617318934053,1,0,500,499,0.002,0.0,0.501
-4.491525026789537,1,0,500,499,0.002,0.0,0.501
-4.488432734645021,1,0,500,499,0.002,0.0,0.501
-4.485340442500505,1,0,500,499,0.002,0.0,0.501
-4.482248150355988,1,0,500,499,0.002,0.0,0.501
-4.479155858211472,1,0,500,499,0.002,0.0,0.501
-4.476063566066956,1,0,500,499,0.002,0.0,0.501
-4.47297127392244,1,0,500,499,0.002,0.0,0.501
-4.469878981777923,1,0,500,499,0.002,0.0,0.501
-4.466786689633407,1,0,500,499,0.002,0.0,0.501
-4.463694397488891,1,0,500,499,0.002,0.0,0.501
-4.460602105344375,1,0,500,499,0.002,0.0,0.501
-4.4575098131998585,1,0,500,499,0.002,0.0,0.501
-4.454417521055342,1,0,500,499,0.002,0.0,0.501
-4.451325228910826,1,0,500,499,0.002,0.0,0.501
-4.44823293676631,1,0,500,499,0.002,0.0,0.501
-4.445140644621794,1,0,500,499,0.002,0.0,0.501
-4.442048352477277,1,0,500,499,0.002,0.0,0.501
-4.438956060332761,1,0,500,499,0.002,0.0,0.501
-4.435863768188245,1,0,500,499,0.002,0.0,0.501
-4.432771476043729,1,0,500,499,0.002,0.0,0.501
-4.4296791838992124,1,0,500,499,0.002,0.0,0.501
-4.426586891754696,1,0,500,499,0.002,0.0,0.501
-4.42349459961018,1,0,500,499,0.002,0.0,0.501
-4.420402307465664,1,0,500,499,0.002,0.0,0.501
-4.4173100153211475,1,0,500,499,0.002,0.0,0.501
-4.414217723176631,2,0,500,498,0.004,0.0,0.502
-4.411125431032115,2,0,500,498,0.004,0.0,0.502
-4.408033138887599,2,0,500,498,0.004,0.0,0.502
-4.404940846743083,2,0,500,498,0.004,0.0,0.502
-4.401848554598566,2,0,500,498,0.004,0.0,0.502
-4.39875626245405,2,0,500,498,0.004,0.0,0.502
-4.395663970309534,2,0,500,498,0.004,0.0,0.502
-4.392571678165018,2,0,500,498,0.004,0.0,0.502
-4.3894793860205015,2,0,500,498,0.004,0.0,0.502
-4.386387093875985,2,0,500,498,0.004,0.0,0.502
-4.383294801731469,2,0,500,498,0.004,0.0,0.502
-4.380202509586953,2,0,500,498,0.004,0.0,0.502
-4.377110217442437,2,0,500,498,0.004,0.0,0.502
-4.37401792529792,2,0,500,498,0.004,0.0,0.502
-4.370925633153404,2,0,500,498,0.004,0.0,0.502
-4.367833341008888,2,0,500,498,0.004,0.0,0.502
-4.364741048864372,2,0,500,498,0.004,0.0,0.502
-4.361648756719855,2,0,500,498,0.004,0.0,0.502
-4.358556464575339,2,0,500,498,0.004,0.0,0.502
-4.355464172430823,2,0,500,498,0.004,0.0,0.502
-4.352371880286307,2,0,500,498,0.004,0.0,0.502
-4.3492795881417905,2,0,500,498,0.004,0.0,0.502
-4.346187295997274,2,0,500,498,0.004,0.0,0.502
-4.343095003852758,2,0,500,498,0.004,0.0,0.502
-4.340002711708242,2,0,500,498,0.004,0.0,0.502
-4.336910419563726,2,0,500,498,0.004,0.0,0.502
-4.333818127419209,2,0,500,498,0.004,0.0,0.502
-4.330725835274693,2,0,500,498,0.004,0.0,0.502
-4.327633543130177,2,0,500,498,0.004,0.0,0.502
-4.324541250985661,2,0,500,498,0.004,0.0,0.502
-4.321448958841144,2,0,500,498,0.004,0.0,0.502
-4.318356666696628,2,0,500,498,0.004,0.0,0.502
-4.315264374552112,2,0,500,498,0.004,0.0,0.502
-4.312172082407596,2,0,500,498,0.004,0.0,0.502
-4.3090797902630795,2,0,500,498,0.004,0.0,0.502
-4.305987498118563,2,0,500,498,0.004,0.0,0.502
