feature_mode,auc,asr,tpr_1fpr,threshold,a,b,theta,c
logistic_l2_C3,0.71031888,0.6846,0.0716,-0.2759340703487396,,,,3.0
logistic_l2_C1,0.70965584,0.6866,0.0876,-0.2754363417625427,,,,1.0
logistic_l2_C10,0.70865328,0.6808,0.0532,-0.26626384258270264,,,,10.0
logistic_l2_C30,0.7076184000000001,0.6778,0.0448,-0.29240140318870544,,,,30.0
logistic_l2_C100,0.7070067200000001,0.6774,0.0444,-0.28790149092674255,,,,100.0
logistic_l2_C0.3,0.7065872,0.6854,0.0888,-0.2866460084915161,,,,0.3
logistic_l2_C0.1,0.70370912,0.6826,0.09,-0.2823546826839447,,,,0.1
logistic_l2_C0.03,0.69011472,0.6626,0.1772,-0.2538982927799225,,,,0.03
logistic_l2_C0.01,0.6530276800000001,0.6188,0.1268,-0.22243428230285645,,,,0.01
first,0.61404808,0.583,0.1124,-0.975560188293457,,,,
step0,0.61404808,0.583,0.1124,-0.975560188293457,,,,
max,0.61368256,0.5836,0.1136,-0.9746300578117371,,,,
step2,0.6133819199999999,0.5838,0.1156,-0.9746622443199158,,,,
step3,0.59894024,0.572,0.1116,-0.9752459526062012,,,,
median,0.59889792,0.5718,0.1116,-0.9752371907234192,,,,
step1,0.59848544,0.5716,0.1116,-0.9750685691833496,,,,
mean,0.59226424,0.5696,0.1116,-0.9713678956031799,,,,
step4,0.58990416,0.569,0.1108,-0.9662629961967468,,,,
step5,0.5841361599999999,0.5652,0.1104,-0.959638774394989,,,,
last,0.579284,0.5636,0.1112,-0.9566025137901306,,,,
min,0.579284,0.5636,0.1112,-0.9566025137901306,,,,
step6,0.579284,0.5636,0.1112,-0.9566025137901306,,,,
